Name,Account number,Date of birth,Phone number,PIN,OTP,Email
Paula,040-2398210-39,09-22-1993,250793229902,3924,92340,paula@gmail.com
Uwase,040-3294193-10,03-03-1987,250788210342,2847,29475,uwase@gmail.com
Guilbert,040-2947562-19,02-02-2002,250735933021,9320,18403,guilbert@gmail.com
Umutoni,040-7463928-22,04-19-2005,250790029443,6931,84018,umutoni@gmail.com
Jonathan,040-2944783-33,02-29-2004,250732019345,7120,79834,jonathan@gmail.com
Stacy,040-5330294-43,12-01-2000,250787903234,5283,43809,stacy@gmail.com
Dorcas,040-1282829-13,10-10-1978,250796155179,8374,39028,akidorcas249@gmail.com
Andy,040-8110092-42,05-20-1988,250732456920,4618,50298,andy@gmail.com
Mary,040-9432883-60,01-29-1990,250796559391,1282,55162,mary@gmail.com
John,040-9234845-85,03-17-2003,250792785685,5323,92748,john@gmail.com
Mugisha,040-4921838-23,11-10-2001,250788234446,1203,63923,mugisha@gmail.com
